34,blue-collar,married,secondary,no,751,yes,yes,cellular,17,nov,1303,1,-1,0,unknown,yes
52,unemployed,married,primary,no,959,no,no,telephone,30,jul,694,2,-1,0,unknown,yes
30,technician,single,secondary,no,3286,yes,no,cellular,9,apr,743,1,-1,0,unknown,yes
35,services,married,secondary,no,0,yes,no,cellular,24,jul,810,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,154,yes,no,unknown,23,may,211,4,-1,0,unknown,no
33,blue-collar,single,primary,no,910,yes,no,cellular,20,apr,42,1,-1,0,unknown,no
45,admin.,married,secondary,no,205,no,no,cellular,3,feb,373,1,92,1,success,yes
32,management,single,tertiary,yes,4,no,no,cellular,29,jan,181,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,2913,no,no,cellular,3,jun,705,1,195,1,failure,yes
38,admin.,married,tertiary,no,4297,no,no,cellular,7,aug,206,2,-1,0,unknown,yes
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
36,management,married,tertiary,no,8564,yes,no,unknown,23,may,125,1,-1,0,unknown,no
26,student,single,tertiary,no,97,no,no,cellular,27,aug,382,1,-1,0,unknown,no
31,admin.,single,secondary,no,-302,yes,yes,unknown,27,may,235,5,-1,0,unknown,no
36,management,married,tertiary,no,928,yes,no,cellular,20,apr,239,1,-1,0,unknown,no
30,services,single,secondary,no,1268,yes,no,cellular,8,apr,105,4,320,8,other,yes
36,blue-collar,divorced,primary,no,0,no,no,cellular,14,may,543,2,-1,0,unknown,no
47,unemployed,married,secondary,no,817,no,no,cellular,7,apr,721,4,-1,0,unknown,yes
51,blue-collar,married,secondary,no,984,yes,no,telephone,7,apr,353,4,-1,0,unknown,no
39,management,single,tertiary,no,1515,yes,no,cellular,4,may,815,6,167,6,failure,yes
34,technician,single,secondary,no,559,no,no,cellular,22,aug,259,2,-1,0,unknown,no
22,self-employed,single,tertiary,no,780,no,no,cellular,17,mar,272,3,-1,0,unknown,yes
